Wet Red Mud Discharge   ;Water removed through evaporation   ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Pure Al(OH)3 (dry, precipitated)    ;Alumunium Recovery Rate (From Feed) ;Alumunium in Recycled Spent Liquor  ;Total CaO consumed  ;Total NaOH Consumed 
85.45353428;97.46673922;74.27992939;74.50985483;80.41%;7.212403433;9.979838983;42.67030144
59.2307579;79.74709355;64.10609042;93.79286306;88.98%;9.023326686;5.199387517;50.56006794
77.99334102;88.81897195;75.39199525;81.23798199;84.31%;10.75275737;9.474467782;45.93829039
68.05783184;81.9289068;73.59512201;93.82845014;88.89%;9.250421262;7.575882225;51.59734166
47.93982535;65.33318;67.44411095;104.7641412;91.15%;11.78546125;4.75130548;56.03212251
52.37171681;70.97856949;65.58307755;99.09124179;91.55%;11.47640894;4.951193776;53.1957344
60.85944031;85.82151447;56.30913051;82.98703756;92.13%;6.934003918;4.499850797;44.6857786
68.02561636;96.01080205;56.9623412;86.73215125;90.86%;10.72052471;4.212033585;46.51288531
75.57286793;82.43942635;79.16579364;83.10701187;83.94%;10.01235686;10.2240247;47.2169204
63.50782659;87.35927465;61.36781357;91.8903698;92.43%;12.69246362;4.718582638;49.39672047
83.3244238;95.77861562;74.93962314;79.52981057;83.28%;7.096999888;9.559497851;45.07365559
87.10607353;96.6270525;85.84905976;97.97340444;86.08%;7.920852169;10.16964479;54.83368728
77.30855897;98.87910812;65.35763227;83.69139838;88.85%;8.463831992;6.686669767;45.99384314
59.39044607;68.95809003;78.03025034;101.9073814;89.16%;8.807010117;7.736342665;55.82205146
61.31211181;92.57284884;55.9178613;98.91399483;94.81%;11.12824082;2.555413307;52.07656884
74.10167184;78.80012487;83.49830829;90.09732218;81.11%;9.31806939;10.47663122;50.91922706
42.66309076;64.88828327;55.44826647;89.96459625;94.09%;7.276695211;3.477082238;47.84158104
53.58124878;69.07885853;67.81901473;95.64160981;90.95%;9.997924946;5.919633407;51.82592068
55.26379045;72.73610654;64.34145177;89.888645;90.77%;7.575414163;5.713450056;48.76185999
59.16209162;88.63828211;56.42556832;97.56070191;95.32%;12.41058287;2.844348021;51.51131293
84.89768807;101.2036509;75.87247549;91.23219932;84.14%;12.66979376;8.432911864;50.6482478
82.75619434;90.85942528;81.98565028;87.37160023;80.79%;8.780816728;10.41334562;49.48586393
52.72276898;82.39477086;48.77274454;82.53228868;90.30%;7.481428441;2.663617504;43.66868793
52.17804785;82.63912132;52.93939693;97.00705172;94.06%;10.74654367;2.031784364;50.86847893
69.7719058;89.89146334;69.37330908;97.69768247;89.39%;10.34214697;6.07064502;52.95099561
57.69198506;83.86158177;58.36181611;95.24750529;93.34%;12.02769419;3.585963803;50.63587016
57.14848732;81.27285339;63.20442811;103.07547;93.99%;8.416197262;3.902996315;54.77957657
74.43648665;85.25721339;72.50693831;76.54570518;84.34%;7.794847098;9.296203261;43.42898959
72.65110721;95.20975619;69.33594364;101.7165791;91.99%;12.76758277;5.591742185;54.82910356
65.9096645;91.64342785;60.03988144;90.97542176;92.71%;10.3578589;4.4924809;48.81503327
59.62197319;70.60262476;75.29846769;98.08968589;90.31%;9.888993226;7.517989567;53.76982701
74.29101601;89.63564557;69.64039155;81.26923685;86.10%;10.47423778;8.02894724;45.33375573
74.35649595;80.60174927;78.43684015;80.37838713;83.59%;10.19390004;10.33327772;45.86022221
64.27738101;93.40867776;57.96095319;95.94494914;94.39%;9.003641383;3.4114836;50.90216687
56.03058156;81.12232263;61.71022767;102.8117793;92.75%;11.97476887;3.548517069;54.51324268
60.31103479;89.24043583;58.08068876;99.52412818;94.76%;11.2435117;3.033187194;52.59590122
53.44081818;73.09224634;66.59341528;103.7012069;93.12%;11.63578971;4.675356939;55.45156268
90.7789466;104.1872958;77.87950314;83.46816039;84.33%;7.494261319;9.851289792;47.22823476
53.29941902;75.45071407;56.89015526;83.95536311;92.05%;11.69715981;4.53737557;45.22864808
57.22177234;67.24964079;77.05446;102.5140878;89.86%;9.350662738;7.431339432;56.00698923
36.94337764;62.96318349;49.81850116;90.11939114;93.98%;11.5211597;2.047253552;47.33428894
48.96925815;69.1880403;59.25205792;88.98976872;92.50%;8.714159462;4.543811093;47.80511266
54.50977549;70.17776367;63.18828653;82.61173688;89.39%;11.2244401;6.252489919;45.26860384
43.59626067;66.00704526;57.11749229;94.25512865;93.79%;9.812764437;3.38731683;50.02679758
69.92945831;92.31343603;65.3587401;92.54354267;90.49%;9.082255262;5.649660856;50.11013133
67.19027304;91.01271245;65.03002662;98.34563965;92.60%;11.83949566;4.907467594;52.79538078
78.36502788;88.26769782;80.39704043;91.78192999;83.91%;7.432897599;9.507884641;51.36034874
78.20858891;97.10765239;66.6221356;78.76952592;82.89%;10.37326172;7.56944358;43.84966801
48.23518154;69.17476118;60.75948811;96.03091146;93.10%;11.01074449;4.090497398;51.2491166
81.56200043;97.16300877;75.96134959;92.62081916;84.10%;11.71682274;8.31266174;51.30587921
57.49215054;70.16661532;70.41804848;91.22470962;89.36%;7.454934705;7.07110099;50.03022851
50.86795254;67.78112218;60.50463609;81.74597643;90.53%;7.83633985;5.687540441;44.56087599
89.74928438;98.94409321;84.03367577;89.71257025;83.94%;8.545952207;10.66265583;50.79623664
55.90154684;76.14541762;60.5812632;86.3388735;89.94%;7.474096109;5.17436129;46.70317849
63.78342063;83.78674642;69.2373018;102.5179325;92.18%;12.41264503;5.484168535;55.19343267
65.69367263;72.55930379;78.67786246;90.52720616;86.21%;8.620415078;9.227450852;50.60146644
